issuer,direct_target,fund,fund_allocation,fund_holding_weight,embedded_weight,effective_weight
NVDA,0.06,SPY,0.15,0.0766,0.01149,0.07149
MSFT,0.055,SPY,0.15,0.0456,0.00684,0.06184
AMZN,0.05,SPY,0.15,0.0377,0.0056549999999999994,0.055655
Alphabet (GOOGL+GOOG),0.04,SPY,0.15,0.0572,0.008579999999999999,0.04858
AVGO,0.03,SPY,0.15,0.0274,0.00411,0.03411
META,0.025,SPY,0.15,0.0221,0.0033150000000000002,0.028315
LLY,0.035,SPY,0.15,0.0147,0.002205,0.037205
TSLA,0.005,SPY,0.15,0.0167,0.002505,0.0075049999999999995
AAPL,0.0,SPY,0.15,0.0764,0.01146,0.01146
TSM,0.035,VWO,0.01,0.1464,0.001464,0.036464
ASML,0.0225,VEA,0.07,0.019,0.00133,0.02383
