symbol,asset_class,quantity,market_value_reference,mark_reference,average_price_reference,source,source_scope,status
AMZN,equity,0.423377,113.4,267.84,241.77,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
ASML,equity,0.083505,138.81,1662.32,1776.9,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
AVGO,equity,0.375702,146.52,389.99,382.32,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
CEG,equity,0.425616,113.17,265.89,256.1,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
COST,equity,0.081544,76.74,941.06,922.69,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
ETN,equity,0.262049,105.72,403.43,401.15,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
GEV,equity,0.208382,211.81,1016.45,1083.92,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
GLD,fund,0.61757,228.14,369.42,377.29,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
GNRC,equity,0.320007,62.7,195.93,236.9,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
GOOGL,equity,0.602817,206.83,343.1,355.86,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
ISRG,equity,0.300031,105.26,350.84,395.33,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
KLAC,equity,0.304258,56.48,185.62,223.46,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
LLY,equity,0.179485,204.85,1141.34,1190.18,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
META,equity,0.332674,182.74,549.3,652.8,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
MSFT,equity,0.742767,340.47,458.39,399.57,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
NVDA,equity,0.986492,195.92,198.61,198.41,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
PANW,equity,0.137346,45.29,329.73,330.19,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
RTX,equity,0.240403,51.24,213.14,195.01,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
SKHY,equity,0.278473,43.23,155.23,171.76,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
SPCX,private/other,0.502727,56.0,111.39,149.41,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
SPY,fund,0.25105,186.78,744.0,740.89,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
TMO,equity,0.2038,115.43,566.39,508.64,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
TSM,equity,0.520584,213.85,410.78,430.77,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
V,equity,0.343424,124.5,362.53,349.48,image(211).png,later screenshot; equities and account summary,principal-supplied post-execution evidence
BONK,crypto,0.81,0.0,2.8e-06,0.0,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
BTC,crypto,0.00180473,114.65,63524.74,66253.68,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
ETH,crypto,0.04574,85.93,1878.6,1613.02,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
PEPE,crypto,0.8071283495258854,0.0,2.77e-06,0.0,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
SOL,crypto,1.59509,117.21,73.48,65.45,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
WIF,crypto,0.000084,0.0,0.1431,0.0,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
ZORA,crypto,0.0709035426729393,0.0,0.00563,0.0,image(210).png,earlier screenshot; expanded crypto detail,principal-supplied post-execution evidence
