symbol,asset_class,quantity,quantity_status,policy_note
AMZN,equity,1.146551,confirmed in post-buy mobile holdings screenshot,
ASML,equity,0.083505,confirmed in post-buy mobile holdings screenshot,
AVGO,equity,0.375702,confirmed in post-buy mobile holdings screenshot,
CEG,equity,0.425616,confirmed in post-buy mobile holdings screenshot,
COST,equity,0.081544,confirmed in post-buy mobile holdings screenshot,
ETN,equity,0.262049,confirmed in post-buy mobile holdings screenshot,
GEV,equity,0.208382,confirmed in post-buy mobile holdings screenshot,
GLD,fund,0.61757,confirmed in post-buy mobile holdings screenshot,
GNRC,equity,0.320007,confirmed in post-buy mobile holdings screenshot,
GOOGL,equity,0.602817,confirmed in post-buy mobile holdings screenshot,
ISRG,equity,0.300031,confirmed in post-buy mobile holdings screenshot,
KLAC,equity,0.304258,confirmed in post-buy mobile holdings screenshot,
LLY,equity,0.179485,confirmed in post-buy mobile holdings screenshot,
META,equity,0.332674,confirmed in post-buy mobile holdings screenshot,
MSFT,equity,0.742767,confirmed in post-buy mobile holdings screenshot,
NVDA,equity,1.858992,confirmed in post-buy mobile holdings screenshot,
PANW,equity,0.137346,confirmed in post-buy mobile holdings screenshot,
PWR,equity,0.116807,confirmed in post-buy mobile holdings screenshot,
RTX,equity,0.240403,confirmed in post-buy mobile holdings screenshot,
SKHY,equity,0.278473,confirmed in post-buy mobile holdings screenshot,unresolved; no silent target or sell instruction
SPCX,private/other,0.502727,confirmed in post-buy mobile holdings screenshot,hold/no-add
SPY,fund,1.250856,confirmed in post-buy mobile holdings screenshot,
TMO,equity,0.325606,confirmed in post-buy mobile holdings screenshot,
TSM,equity,0.520584,confirmed in post-buy mobile holdings screenshot,
V,equity,0.343424,confirmed in post-buy mobile holdings screenshot,
VEA,fund,6.186296,confirmed in post-buy mobile holdings screenshot,
VWO,fund,0.476555,confirmed in post-buy mobile holdings screenshot,
BONK,crypto,0.81,confirmed in post-buy mobile holdings screenshot,
BTC,crypto,0.00180473,confirmed in post-buy mobile holdings screenshot,
ETH,crypto,0.04574,confirmed in post-buy mobile holdings screenshot,
PEPE,crypto,0.80712835,confirmed in post-buy mobile holdings screenshot,
SOL,crypto,1.59509,confirmed in post-buy mobile holdings screenshot,
WIF,crypto,0.000084,confirmed in post-buy mobile holdings screenshot,
ZORA,crypto,0.07090354,confirmed in post-buy mobile holdings screenshot,
