Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6771720,Samsung Electronics Co Ltd,005930,2.60%,"Technology Hardware, Storage & Peripherals",KR,---,"$8,542,624,169.58","45,251,055"
,6450267,SK hynix Inc,000660,2.00%,Semiconductors,KR,---,"$6,577,127,449.23","5,434,351"
,B929F46,ASML Holding NV,ASML,1.95%,Semiconductor Materials & Equipment,NL,---,"$6,415,194,537.86","3,782,472"
,0540528,HSBC Holdings PLC,HSBA,1.05%,Diversified Banks,GB,---,"$3,445,036,706.05","168,186,345"
,BTMJD19,Roche Holding AG,ROP,0.91%,Pharmaceuticals,CH,---,"$3,005,489,172.67","6,894,575"
,2754383,Royal Bank of Canada,RY,0.85%,Diversified Banks,CA,---,"$2,803,737,677.12","13,711,504"
,7103065,Novartis AG,NOVN,0.85%,Pharmaceuticals,CH,---,"$2,781,287,957.37","18,285,757"
,BP6MXD8,Shell PLC,SHEL,0.77%,Integrated Oil & Gas,GB,---,"$2,520,683,655.91","55,017,272"
,7123870,Nestle SA,NESN,0.75%,Packaged Foods & Meats,CH,---,"$2,453,929,718.61","25,226,876"
,6335171,Mitsubishi UFJ Financial Group Inc,8306,0.74%,Diversified Banks,JP,---,"$2,430,757,602.72","106,618,578"
,5727973,Siemens AG,SIE,0.72%,Industrial Conglomerates,DE,---,"$2,384,003,806.57","7,191,385"
,0989529,AstraZeneca PLC,AZN,0.72%,Pharmaceuticals,GB,---,"$2,370,005,030.20","14,700,624"
,6144690,BHP Group Ltd,BHP,0.71%,Diversified Metals & Mining,AU,---,"$2,344,541,752.83","49,850,249"
,4846288,SAP SE,SAP,0.68%,Application Software,DE,---,"$2,220,605,361.69","10,089,531"
,5705946,Banco Santander SA,SAN,0.65%,Diversified Banks,ES,---,"$2,122,700,293.05","145,054,648"
,6900643,Toyota Motor Corp,7203,0.63%,Automobile Manufacturers,JP,---,"$2,057,941,273.92","104,777,678"
,2897222,Toronto-Dominion Bank/The,TD,0.60%,Diversified Banks,CA,---,"$1,982,766,979.88","16,389,431"
,5231485,Allianz SE,ALV,0.59%,Multi-line Insurance,DE,---,"$1,946,024,188.01","3,731,481"
,6215035,Commonwealth Bank of Australia,CBA,0.57%,Diversified Banks,AU,---,"$1,870,526,267.74","16,367,894"
,4834108,Schneider Electric SE,SU,0.55%,Electrical Components & Equipment,FR,---,"$1,820,620,671.19","5,319,091"
,BX865C7,Shopify Inc,SHOP,0.54%,Internet Services & Infrastructure,CA,---,"$1,768,780,849.79","12,000,988"
,BRJL176,UBS Group AG,UBSG,0.51%,Diversified Capital Markets,CH,---,"$1,678,220,511.57","30,648,819"
,B63H849,Rolls-Royce Holdings PLC,RR/,0.51%,Aerospace & Defense,GB,---,"$1,671,588,893.14","82,246,397"
,B15C557,TotalEnergies SE,TTE,0.51%,Integrated Oil & Gas,FR,---,"$1,661,276,523.81","18,853,739"
,5501906,Banco Bilbao Vizcaya Argentaria SA,BBVA,0.49%,Diversified Banks,ES,---,"$1,595,466,209.00","55,144,507"
,B288C92,Iberdrola SA,IBE,0.48%,Electric Utilities,ES,---,"$1,570,631,804.53","67,461,816"
,6563024,Sumitomo Mitsui Financial Group Inc,8316,0.46%,Diversified Banks,JP,---,"$1,522,209,246.80","35,459,794"
,6895675,Tokyo Electron Ltd,8035,0.46%,Semiconductor Materials & Equipment,JP,---,"$1,509,829,763.83","4,313,781"
,BQRRZ00,Recruit Holdings Co Ltd,6098,0.45%,Human Resource & Employment Services,JP,---,"$1,495,118,584.06","13,201,507"
,7108899,ABB Ltd,ABBN,0.45%,Electrical Components & Equipment,CH,---,"$1,486,502,647.11","15,179,934"
,6870490,Advantest Corp,6857,0.45%,Semiconductor Materials & Equipment,JP,---,"$1,485,999,561.60","7,100,284"
,6429104,Hitachi Ltd,6501,0.45%,Industrial Conglomerates,JP,---,"$1,469,834,155.64","43,295,685"
,BYMXPS7,UniCredit SpA,UCG,0.44%,Diversified Banks,IT,---,"$1,444,282,213.83","14,797,966"
,6821506,Sony Group Corp,6758,0.44%,Consumer Electronics,JP,---,"$1,431,556,153.44","57,932,040"
,BP6KMJ1,Novo Nordisk A/S,NOVOB,0.43%,Pharmaceuticals,DK,---,"$1,412,985,651.00","31,200,015"
,BVZK7T9,Unilever PLC,ULVR,0.40%,Personal Care Products,GB,---,"$1,330,580,352.64","20,667,771"
,B058TZ6,Safran SA,SAF,0.40%,Aerospace & Defense,FR,---,"$1,319,519,122.74","3,376,113"
,4012250,Airbus SE,AIR,0.40%,Aerospace & Defense,FR,---,"$1,307,547,596.60","5,729,217"
,4061412,LVMH Moet Hennessy Louis Vuitton SE,MC,0.39%,"Apparel, Accessories & Luxury Goods",FR,---,"$1,268,351,524.06","2,419,262"
,BCRWZ18,Cie Financiere Richemont SA,CFR,0.38%,"Apparel, Accessories & Luxury Goods",CH,---,"$1,240,780,406.40","5,213,415"
,6591014,Mizuho Financial Group Inc,8411,0.37%,Diversified Banks,JP,---,"$1,230,804,688.06","23,105,678"
,BMTVQK9,Siemens Energy AG,ENR,0.37%,Heavy Electrical Equipment,DE,---,"$1,219,924,163.30","7,406,610"
,6175203,DBS Group Holdings Ltd,DBS,0.37%,Diversified Banks,SG,---,"$1,207,828,129.39","19,861,851"
,6770620,SoftBank Group Corp,9984,0.36%,Wireless Telecommunication Services,JP,---,"$1,187,139,356.44","36,850,924"
,2076009,Bank of Montreal,BMO,0.36%,Diversified Banks,CA,---,"$1,180,765,173.17","6,927,199"
,4076836,Intesa Sanpaolo SpA,ISP,0.36%,Diversified Banks,IT,---,"$1,176,872,469.70","149,383,643"
,7309681,BNP Paribas SA,BNP,0.35%,Diversified Banks,FR,---,"$1,140,137,168.92","9,576,364"
,5842359,Deutsche Telekom AG,DTE,0.34%,Integrated Telecommunication Services,DE,---,"$1,106,269,230.01","33,662,343"
,2076281,Bank of Nova Scotia/The,BNS,0.34%,Diversified Banks,CA,---,"$1,105,738,668.31","12,079,282"
,0287580,British American Tobacco PLC,BATS,0.34%,Tobacco,GB,---,"$1,105,700,506.53","19,899,662"
,0798059,BP PLC,BP/,0.33%,Integrated Oil & Gas,GB,---,"$1,099,905,108.69","153,772,823"
,2466149,Enbridge Inc,ENB,0.33%,Oil & Gas Storage & Transportation,CA,---,"$1,083,960,090.28","21,394,396"
,5983816,Zurich Insurance Group AG,ZURN,0.33%,Multi-line Insurance,CH,---,"$1,071,286,855.35","1,463,936"
,6773812,SAMSUNG ELECTRONICS-PREF,005935,0.32%,"Technology Hardware, Storage & Peripherals",KR,---,"$1,065,495,137.19","7,867,672"
,0718875,Rio Tinto PLC,RIO,0.32%,Diversified Metals & Mining,GB,---,"$1,039,466,983.31","10,141,598"
,2170525,Canadian Imperial Bank of Commerce,CM,0.31%,Diversified Banks,CA,---,"$1,022,282,091.08","9,006,623"
,BMGYJ02,Kioxia Holdings Corp,285A,0.31%,Semiconductors,JP,---,"$1,017,000,447.30","3,289,200"
,2009823,Agnico Eagle Mines Ltd,AEM,0.31%,Gold,CA,---,"$1,012,737,242.41","4,990,944"
,2171573,Canadian Natural Resources Ltd,CNQ,0.31%,Oil & Gas Exploration & Production,CA,---,"$1,003,317,873.88","20,010,770"
,BZ57390,ING Groep NV,INGA,0.30%,Diversified Banks,NL,---,"$998,157,873.32","28,196,163"
,B4TX8S1,AIA Group Ltd,1299,0.30%,Life & Health Insurance,HK,---,"$996,232,269.68","103,048,556"
,BN7SWP6,GSK PLC,GSK,0.30%,Pharmaceuticals,GB,---,"$983,330,271.50","39,099,247"
,6490995,Keyence Corp,6861,0.29%,Electronic Equipment & Instruments,JP,---,"$956,976,532.97","1,836,645"
,5671735,Sanofi SA,SAN,0.29%,Pharmaceuticals,FR,---,"$938,484,227.51","10,555,567"
,6596785,Mitsubishi Corp,8058,0.28%,Trading Companies & Distributors,JP,---,"$929,840,441.35","31,029,554"
,3134865,Barclays PLC,BARC,0.27%,Diversified Banks,GB,---,"$886,871,212.55","133,725,987"
,6513126,Tokio Marine Holdings Inc,8766,0.27%,Property & Casualty Insurance,JP,---,"$880,204,544.70","18,331,361"
