Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6889106,Taiwan Semiconductor Manufacturing Co Ltd,2330,14.67%,Semiconductors,TW,---,"$25,843,208,452.96","343,879,754"
,BMMV2K8,Tencent Holdings Ltd,700,2.89%,Interactive Media & Services,HK,---,"$5,085,715,737.40","88,547,044"
,BK6YZP5,Alibaba Group Holding Ltd,9988,2.18%,Broadline Retail,HK,---,"$3,840,367,142.59","268,655,460"
,6372480,MediaTek Inc,2454,1.46%,Semiconductors,TW,---,"$2,574,219,607.23","20,806,148"
,6260734,Delta Electronics Inc,2308,0.90%,Electronic Components,TW,---,"$1,583,404,928.76","27,293,125"
,B0LMTQ3,China Construction Bank Corp,939,0.86%,Diversified Banks,HK,---,"$1,507,373,611.11","1,246,968,103"
,6438564,Hon Hai Precision Industry Co Ltd,2317,0.77%,Electronic Manufacturing Services,TW,---,"$1,359,356,659.30","172,577,393"
,6099626,Reliance Industries Ltd,RELIANCE,0.72%,Oil & Gas Refining & Marketing,IN,---,"$1,275,798,538.18","95,208,272"
,BK1N461,HDFC Bank Ltd,HDFCB,0.68%,Diversified Banks,IN,---,"$1,200,510,677.46","161,597,834"
,BSZ2BY7,ICICI Bank Ltd,ICICIBC,0.65%,Diversified Banks,IN,---,"$1,145,586,246.86","75,206,041"
,B1G1QD8,Industrial & Commercial Bank of China Ltd,1398,0.62%,Diversified Banks,HK,---,"$1,090,697,240.74","1,132,433,614"
,BYVW0F7,PDD HOLDINGS INC,PDD,0.52%,Broadline Retail,US,ADR,"$917,180,628.00","10,918,817"
,BFXZDY1,ASE Technology Holding Co Ltd,3711,0.49%,Semiconductors,TW,---,"$863,991,597.53","46,903,152"
,BG0ZMJ9,Xiaomi Corp,1810,0.49%,"Technology Hardware, Storage & Peripherals",HK,---,"$856,724,197.96","244,052,800"
,6442327,Bharti Airtel Ltd,BHARTI,0.46%,Wireless Telecommunication Services,IN,---,"$818,756,224.55","43,072,960"
,BRF6FX9,Anglogold Ashanti Plc,ANG,0.46%,Gold,ZA,---,"$803,827,389.18","7,156,187"
,BGJW376,Meituan,3690,0.44%,Restaurants,HK,---,"$779,480,673.63","77,914,486"
,2196286,Vale SA,VALE3,0.42%,Steel,BR,---,"$745,317,334.27","49,606,924"
,B12LZH9,Al Rajhi Bank,RJHI,0.42%,Diversified Banks,SA,---,"$742,626,133.70","41,671,509"
,B154564,Bank of China Ltd,3988,0.41%,Diversified Banks,HK,---,"$716,116,076.02","954,080,735"
,6316121,Elite Material Co Ltd,2383,0.40%,Electronic Components,TW,---,"$709,709,546.85","4,108,054"
,B01FLR7,Ping An Insurance Group Co of China Ltd,2318,0.37%,Life & Health Insurance,HK,---,"$655,355,166.57","91,369,813"
,BM93SF4,NetEase Inc,9999,0.36%,Interactive Home Entertainment,HK,---,"$628,805,304.49","25,802,911"
,6280215,Gold Fields Ltd,GFI,0.33%,Gold,ZA,---,"$589,050,763.58","12,682,800"
,6137720,Unimicron Technology Corp,3037,0.33%,Electronic Components,TW,---,"$586,902,166.53","18,650,036"
